frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
187,1777426365.433613,9.881,2.015,,32.966,,,,20.677,settle,tracking,47.56,,,,,0
188,1777426365.468261,9.922,2.062,,34.492,,0.006,1.407,20.729,active,tracking,48.86,-1.44,0.32,2,1,
189,1777426365.500297,8.855,2.055,,31.898,,,,20.662,settle,tracking,47.52,,,,,1
190,1777426365.533667,10.103,2.005,,33.213,,,,20.694,settle,tracking,47.52,,,,,0
191,1777426365.567105,10.019,2.188,,33.282,,0.005,,20.726,active,tracking,47.60,,,,0,
192,1777426365.605139,10.149,2.010,,37.876,,4.683,,20.688,active,tracking,52.28,,,,0,
193,1777426365.633800,5.362,2.025,,28.474,,0.005,,20.732,active,tracking,47.56,,,,0,
194,1777426365.667093,9.891,2.063,,33.120,,0.004,,20.817,active,tracking,47.49,,,,0,
195,1777426365.705224,10.030,2.059,,37.967,,4.832,,20.695,active,tracking,52.27,,,,0,
196,1777426365.733976,5.440,2.018,,28.552,,0.005,,20.744,active,tracking,47.64,,,,0,
197,1777426365.767268,10.061,2.029,,33.133,,0.005,,20.695,active,tracking,47.57,,,,0,
198,1777426365.805271,10.015,2.018,,37.841,,4.679,,20.780,active,tracking,52.22,,,,0,
199,1777426365.833956,5.439,2.006,,28.493,,0.005,,20.700,active,tracking,47.53,,,,0,
200,1777426365.867198,9.974,2.057,,33.079,,0.004,,20.700,active,tracking,47.41,,,,0,
201,1777426365.905317,10.193,2.006,,37.959,,4.708,,20.702,active,tracking,52.17,,,,0,
202,1777426365.934161,5.538,2.025,,28.643,,0.004,,20.731,active,tracking,47.64,,,,0,
203,1777426365.967325,9.864,2.067,,33.002,,0.004,,20.722,active,tracking,47.45,,,,0,
204,1777426366.005669,10.059,1.981,,38.184,,4.775,,21.020,active,tracking,52.43,,,,0,
205,1777426366.034064,5.183,2.019,,28.236,,0.005,,20.685,active,tracking,47.46,,,,0,
206,1777426366.067351,9.952,2.058,,33.114,,0.005,,20.756,active,tracking,47.38,,,,0,
207,1777426366.105421,10.177,2.012,,37.858,,4.656,,20.671,active,tracking,52.04,,,,0,
208,1777426366.139526,10.310,2.302,,33.953,,0.004,,20.985,active,tracking,52.82,,,,0,
209,1777426366.167470,4.583,2.066,,27.780,,0.005,,20.781,active,tracking,47.39,,,,0,
210,1777426366.205666,10.180,2.005,,38.034,,4.788,,20.709,active,tracking,52.24,,,,0,
211,1777426366.237637,7.271,2.060,,31.825,,0.004,1.429,20.700,active,tracking,50.86,-1.44,0.76,2,1,
212,1777426366.267112,6.259,2.053,,29.327,,,,20.676,settle,tracking,46.95,,,,,1
213,1777426366.300783,10.451,2.006,,33.514,,,,20.724,settle,tracking,47.25,,,,,0
214,1777426366.335686,10.252,2.013,,34.747,,0.004,1.408,20.709,active,tracking,48.82,-2.44,1.04,2,1,
215,1777426366.367563,8.648,2.062,,31.739,,,,20.686,settle,tracking,47.31,,,,,1
216,1777426366.401014,10.240,2.017,,33.293,,,,20.700,settle,tracking,47.40,,,,,0
217,1777426366.441330,10.110,2.253,,40.158,,4.813,1.401,21.202,active,tracking,54.36,-3.04,0.92,2,1,
218,1777426366.467630,2.948,2.034,,26.135,,,,20.814,settle,tracking,47.28,,,,,1
219,1777426366.501134,10.353,2.006,,33.347,,,,20.653,settle,tracking,47.42,,,,,0
220,1777426366.536749,11.013,2.036,,35.462,,0.005,1.432,20.615,active,tracking,49.69,-3.80,0.96,2,1,
221,1777426366.568129,8.204,2.035,,31.240,,,,20.667,settle,tracking,47.68,,,,,1
222,1777426366.601313,10.014,2.010,,33.022,,,,20.663,settle,tracking,47.51,,,,,0
