frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
105,1777427217.623383,8.998,2.029,,27.480,,16.144,,,settle,tracking,42.17,,,,,1
106,1777427217.656609,14.555,1.990,,33.083,,16.223,,,settle,tracking,42.04,,,,,0
107,1777427217.691444,14.697,2.061,,34.694,,16.211,0.004,1.386,active,tracking,43.52,-3.04,0.44,2,1,
108,1777427217.723303,13.243,2.049,,31.739,,16.140,,,settle,tracking,42.00,,,,,1
109,1777427217.756707,14.727,2.013,,33.261,,16.207,,,settle,tracking,42.04,,,,,0
110,1777427217.791505,14.671,2.036,,34.654,,16.213,0.004,1.397,active,tracking,43.49,-3.80,0.24,2,1,
111,1777427217.823464,13.302,2.028,,31.837,,16.194,,,settle,tracking,42.06,,,,,1
112,1777427217.857831,15.627,1.994,,34.227,,16.293,,,settle,tracking,43.07,,,,,0
113,1777427217.896266,13.849,2.046,,38.299,,16.187,4.483,1.381,active,tracking,48.15,-4.28,0.32,2,1,
114,1777427217.923622,8.784,2.037,,27.228,,16.098,,,settle,tracking,42.14,,,,,1
115,1777427217.957162,14.807,1.991,,33.396,,16.289,,,settle,tracking,42.31,,,,,0
116,1777427217.991964,14.573,2.060,,34.659,,16.290,0.005,1.396,active,tracking,43.76,-4.60,0.44,2,1,
117,1777427218.023661,13.068,2.030,,31.572,,16.161,,,settle,tracking,42.08,,,,,1
118,1777427218.057052,14.785,1.985,,33.252,,16.169,,,settle,tracking,42.10,,,,,0
119,1777427218.091834,14.652,2.043,,34.626,,16.191,0.004,1.398,active,tracking,43.54,-4.28,0.48,2,1,
120,1777427218.127274,12.712,3.401,,34.739,,18.291,,,settle,tracking,45.60,,,,,1
121,1777427218.158578,11.493,3.167,,31.169,,16.187,,,settle,tracking,43.53,,,,,0
122,1777427218.198102,13.822,3.229,,39.380,,16.093,4.497,1.390,active,tracking,49.71,-3.84,0.28,2,1,
123,1777427218.225139,7.253,3.124,,26.906,,16.214,,,settle,tracking,43.37,,,,,1
124,1777427218.258656,13.716,3.160,,33.376,,16.186,,,settle,tracking,43.52,,,,,0
125,1777427218.292031,13.208,2.076,,33.232,,16.217,0.006,1.390,active,tracking,43.55,-3.04,0.08,2,1,
126,1777427218.323864,13.166,2.043,,31.709,,16.188,,,settle,tracking,42.00,,,,,1
127,1777427218.357400,14.790,2.006,,33.345,,16.238,,,settle,tracking,42.12,,,,,0
128,1777427218.390597,14.436,2.051,,33.060,,16.261,0.004,,active,tracking,42.00,,,,0,
129,1777427218.428464,14.732,2.003,,37.722,,16.241,4.428,,active,tracking,46.51,,,,0,
130,1777427218.457578,10.406,2.002,,28.971,,16.197,0.004,,active,tracking,42.26,,,,0,
131,1777427218.490712,14.427,2.039,,32.998,,16.223,0.004,,active,tracking,42.03,,,,0,
132,1777427218.530745,16.118,2.003,,39.888,,16.216,4.340,,active,lost,48.70,,,,0,
133,1777427218.543434,8.222,1.990,2.069,12.544,,,0.005,,active,acquiring,28.02,,,,0,
134,1777427218.588526,28.655,2.049,1.698,44.941,10.815,,0.005,1.433,active,tracking,39.76,-1.36,-5.48,2,1,
135,1777427218.612287,18.970,2.036,,23.622,,2.362,,,settle,tracking,30.14,,,,,1
136,1777427218.643849,26.764,2.006,,31.403,,2.394,,,settle,tracking,28.34,,,,,0
137,1777427218.683082,28.352,2.022,,39.075,,2.376,4.637,1.383,active,tracking,34.21,-1.48,-5.28,2,1,
138,1777427218.710347,22.492,2.008,,27.139,,2.389,,,settle,tracking,28.11,,,,,1
139,1777427218.743807,28.615,2.005,,33.301,,2.385,,,settle,tracking,28.20,,,,,0
140,1777427218.778774,28.634,2.046,,34.813,,2.394,0.004,1.463,active,tracking,29.81,-1.28,-2.76,2,1,
141,1777427218.810762,27.147,2.002,,31.854,,2.429,,,settle,tracking,28.43,,,,,1
142,1777427218.844586,29.045,2.019,,33.664,,2.348,,,settle,tracking,28.89,,,,,0
143,1777427218.877430,27.965,2.033,,32.683,,2.358,0.006,,active,tracking,28.29,,,,0,
144,1777427218.915434,28.611,2.012,,37.852,,2.378,4.541,,active,tracking,33.01,,,,0,
145,1777427218.943876,23.645,1.983,,28.298,,2.390,0.006,,active,tracking,28.08,,,,0,
146,1777427218.977314,28.584,2.054,,33.242,,2.345,0.005,,active,tracking,28.15,,,,0,
147,1777427219.017528,30.509,2.102,,39.982,,2.358,4.737,,active,tracking,35.01,,,,0,
148,1777427219.044251,21.862,2.041,,26.582,,2.384,0.006,,active,tracking,28.36,,,,0,
149,1777427219.077468,28.339,2.037,,33.060,,2.357,0.066,,active,tracking,28.21,,,,0,
150,1777427219.118744,28.454,3.004,,41.123,,3.485,5.715,,active,tracking,36.13,,,,0,
151,1777427219.144127,20.590,2.031,,25.242,,2.359,0.006,,active,tracking,28.14,,,,0,
152,1777427219.179051,29.074,2.004,,34.764,,3.324,0.005,,active,tracking,29.71,,,,0,
153,1777427219.215519,26.999,2.000,,36.316,,2.422,4.629,,active,tracking,32.81,,,,0,
154,1777427219.244150,23.797,2.062,,28.488,,2.337,0.006,,active,tracking,28.07,,,,0,
155,1777427219.277764,28.659,2.059,,33.455,,2.435,0.005,,active,tracking,28.31,,,,0,
156,1777427219.315601,28.418,1.995,,37.685,,2.403,4.606,,active,tracking,32.80,,,,0,
157,1777427219.344297,23.881,2.065,,28.553,,2.340,0.007,,active,tracking,28.13,,,,0,
158,1777427219.379254,28.631,2.037,,34.801,,2.405,0.005,1.398,active,tracking,29.73,1.44,0.12,2,1,
159,1777427219.411037,27.004,1.993,,31.652,,2.385,,,settle,tracking,28.14,,,,,1
160,1777427219.444532,28.664,2.060,,33.328,,2.358,,,settle,tracking,28.27,,,,,0
161,1777427219.483863,28.472,2.049,,39.179,,2.416,4.519,1.382,active,tracking,34.24,2.20,-0.00,2,1,
162,1777427219.511486,22.861,1.991,,27.497,,2.369,,,settle,tracking,28.50,,,,,1
163,1777427219.544600,28.218,2.067,,32.957,,2.354,,,settle,tracking,28.25,,,,,0
164,1777427219.579309,28.348,2.056,,34.555,,2.430,0.004,1.409,active,tracking,29.60,2.92,-0.24,2,1,
165,1777427219.611165,27.070,2.008,,31.720,,2.393,,,settle,tracking,28.08,,,,,1
166,1777427219.644526,28.580,2.042,,33.198,,2.326,,,settle,tracking,28.08,,,,,0
167,1777427219.679525,28.728,2.003,,34.838,,2.428,0.004,1.397,active,tracking,29.72,3.44,-0.96,2,1,
168,1777427219.711362,27.012,2.015,,31.701,,2.414,,,settle,tracking,28.19,,,,,1
169,1777427219.744703,28.537,2.031,,33.177,,2.359,,,settle,tracking,28.16,,,,,0
170,1777427219.784134,28.595,2.033,,39.272,,2.417,4.524,1.381,active,tracking,34.23,4.00,-1.96,2,1,
171,1777427219.811454,22.492,2.014,,27.193,,2.407,,,settle,tracking,28.18,,,,,1
172,1777427219.845491,29.185,2.025,,33.877,,2.346,,,settle,tracking,28.85,,,,,0
173,1777427219.879657,27.926,1.990,,34.013,,2.403,0.005,1.411,active,tracking,29.67,4.52,-1.96,2,1,
174,1777427219.911614,27.133,2.011,,31.822,,2.380,,,settle,tracking,28.25,,,,,1
175,1777427219.944798,28.358,2.045,,33.027,,2.380,,,settle,tracking,28.07,,,,,0
176,1777427219.976952,28.623,2.056,,31.999,,1.028,0.005,,active,tracking,26.85,,,,0,
177,1777427220.014767,29.865,2.043,,37.663,,1.070,4.395,,active,tracking,31.30,,,,0,
178,1777427220.043628,25.355,2.049,,28.720,,1.028,0.005,,active,tracking,26.81,,,,0,
179,1777427220.077049,29.940,2.021,,33.272,,1.020,0.004,,active,tracking,26.86,,,,0,
180,1777427220.115903,29.338,2.486,,38.045,,1.038,4.849,,active,lost,32.33,,,,0,
181,1777427220.148547,28.143,2.044,2.000,32.433,,,0.006,,active,acquiring,31.63,,,,0,
182,1777427220.210092,25.598,1.997,1.907,61.400,30.240,,0.003,1.404,active,tracking,59.83,-3.64,0.96,2,1,
183,1777427220.220246,1.952,2.031,,10.025,,5.728,,,settle,tracking,36.60,,,,,1
184,1777427220.250894,22.394,1.999,,30.493,,5.783,,,settle,tracking,33.88,,,,,0
185,1777427220.286519,22.770,2.012,,35.473,,5.746,4.633,,active,tracking,36.15,,,,0,
186,1777427220.315233,20.494,1.992,,28.573,,5.790,0.004,,active,tracking,31.50,,,,0,
187,1777427220.348532,25.105,2.034,,33.164,,5.705,0.005,,active,lost,31.44,,,,0,
188,1777427220.383172,25.289,2.016,2.547,34.499,,,4.377,,active,acquiring,32.71,,,,0,
189,1777427220.446799,23.860,1.992,1.959,63.484,33.917,,0.005,1.468,active,tracking,62.98,-1.44,0.96,2,1,
190,1777427220.459260,1.997,3.244,,12.328,,6.772,,,settle,tracking,42.06,,,,,1
191,1777427220.484185,14.645,3.188,,24.767,,6.578,,,settle,tracking,33.62,,,,,0
192,1777427220.517833,23.407,2.980,,33.501,,6.775,0.004,,active,tracking,33.91,,,,0,
193,1777427220.554242,22.729,2.012,,36.234,,6.673,4.493,,active,tracking,36.95,,,,0,
194,1777427220.583104,19.819,1.992,,28.720,,6.568,0.005,,active,lost,32.45,,,,0,
195,1777427220.612217,24.195,2.037,2.443,28.956,,,0.006,,active,acquiring,28.20,,,,0,
196,1777427220.720682,28.654,2.048,1.898,108.311,69.491,,4.471,1.393,active,tracking,103.32,8.48,0.96,3,1,
197,1777427220.731809,2.015,1.991,,10.999,,6.682,,,settle,tracking,47.69,,,,,2
198,1777427220.754678,10.348,2.746,,22.718,,9.279,,,settle,tracking,37.19,,,,,1
199,1777427220.789724,22.426,2.791,,34.874,,9.309,,,settle,tracking,38.88,,,,,0
200,1777427220.823154,20.833,2.780,,33.258,,9.282,0.005,,active,tracking,38.94,,,,0,
201,1777427220.858167,21.353,3.052,,34.838,,10.038,0.005,,active,lost,40.59,,,,0,
202,1777427220.891684,19.924,2.959,3.384,33.332,,,6.739,,active,acquiring,40.74,,,,0,
203,1777427221.015726,19.635,2.995,2.667,123.873,96.829,,0.004,1.385,active,tracking,131.44,9.24,0.96,3,1,
204,1777427221.027528,2.012,2.022,,11.683,,7.346,,,settle,tracking,43.13,,,,,2
205,1777427221.050957,13.684,1.974,,23.283,,7.278,,,settle,tracking,33.20,,,,,1
206,1777427221.084126,23.453,2.005,,33.022,,7.261,,,settle,tracking,33.00,,,,,0
207,1777427221.120914,24.947,2.075,,36.642,,9.299,0.004,,active,tracking,36.43,,,,0,
208,1777427221.155998,20.379,2.028,,34.933,,7.250,4.474,,active,lost,38.10,,,,0,
209,1777427221.179688,18.983,1.991,2.296,23.545,,,0.006,,active,acquiring,28.46,,,,0,
210,1777427221.380214,28.254,2.046,1.930,200.372,166.435,,0.004,1.381,active,tracking,195.65,-2.96,-2.84,2,1,
211,1777427221.422502,1.962,1.969,,42.162,,37.920,,,settle,tracking,71.09,,,,,1
212,1777427221.458919,2.010,2.061,,36.273,,31.893,,,settle,tracking,74.15,,,,,0
213,1777427221.499641,1.965,2.067,,40.580,,31.790,4.442,,active,tracking,81.49,,,,0,
214,1777427221.536527,2.151,2.116,,36.747,,32.150,0.004,,active,tracking,85.02,,,,0,
215,1777427221.574740,2.117,2.081,,38.063,,32.054,0.005,1.453,active,tracking,89.89,-2.48,-2.56,2,1,
216,1777427221.612425,2.135,2.455,,37.563,,32.678,,,settle,tracking,94.19,,,,,1
217,1777427221.649124,2.086,1.986,,36.544,,32.161,,,settle,tracking,64.17,,,,,0
218,1777427221.691063,1.921,2.026,,41.799,,31.581,4.530,1.389,active,tracking,72.75,-1.88,-1.40,2,1,
219,1777427221.727210,1.963,2.121,,36.022,,31.626,,,settle,tracking,75.53,,,,,1
220,1777427221.763519,1.942,2.236,,36.168,,31.663,,,settle,tracking,78.47,,,,,0
221,1777427221.799922,2.095,2.054,,36.263,,31.811,0.004,,active,tracking,81.50,,,,0,
222,1777427221.836419,2.105,2.060,,36.356,,31.852,0.005,,active,tracking,84.64,,,,0,
223,1777427221.878045,2.115,2.101,,41.478,,32.260,4.663,,active,tracking,92.91,,,,0,
224,1777427221.914708,1.923,2.077,,36.533,,32.217,0.004,,active,tracking,62.84,,,,0,
225,1777427221.950828,1.892,2.069,,35.977,,31.693,0.005,,active,tracking,65.57,,,,0,
226,1777427221.991696,1.920,2.137,,40.725,,31.783,4.551,,active,tracking,73.10,,,,0,
227,1777427222.027854,2.067,2.043,,36.015,,31.578,0.005,,active,tracking,75.89,,,,0,
228,1777427222.064151,2.002,2.175,,36.152,,31.634,0.005,,active,tracking,78.81,,,,0,
229,1777427222.105327,2.095,2.034,,41.032,,31.848,4.717,,active,tracking,86.63,,,,0,
230,1777427222.146138,2.348,2.604,,40.613,,35.059,0.005,,active,tracking,94.09,,,,0,
231,1777427222.183290,2.157,2.120,,37.032,,32.440,0.005,,active,tracking,64.51,,,,0,
232,1777427222.223663,1.908,2.069,,40.240,,31.349,4.581,,active,tracking,71.51,,,,0,
233,1777427222.259794,2.037,2.015,,35.985,,31.605,0.005,,active,tracking,74.28,,,,0,
234,1777427222.295854,2.026,2.054,,35.919,,31.511,0.005,,active,tracking,76.98,,,,0,
235,1777427222.336687,2.001,2.082,,40.689,,31.513,4.751,,active,tracking,84.43,,,,0,
236,1777427222.373675,2.150,2.090,,36.836,,32.205,0.006,,active,tracking,88.04,,,,0,
237,1777427222.411433,2.056,2.819,,37.617,,32.401,0.005,,active,tracking,92.46,,,,0,
238,1777427222.452898,2.009,2.020,,41.331,,32.373,4.527,,active,tracking,100.56,,,,0,
239,1777427222.489114,2.017,2.041,,36.077,,31.694,0.005,,active,tracking,70.05,,,,0,
240,1777427222.526366,2.000,2.243,,36.329,,31.758,0.004,,active,tracking,73.94,,,,0,
241,1777427222.567171,1.955,2.051,,40.662,,31.621,4.701,,active,tracking,81.36,,,,0,
242,1777427222.603731,2.152,2.063,,36.421,,31.858,0.006,,active,tracking,84.54,,,,0,
243,1777427222.640671,2.111,2.086,,36.792,,32.255,0.004,,active,tracking,88.14,,,,0,
244,1777427222.683313,2.227,2.515,,42.495,,32.419,4.981,,active,tracking,97.42,,,,0,
245,1777427222.719474,1.968,1.987,,36.019,,31.735,0.006,,active,tracking,66.86,,,,0,
246,1777427222.755555,1.991,2.045,,35.941,,31.578,0.004,,active,tracking,69.57,,,,0,
247,1777427222.795997,1.987,2.022,,40.299,,31.274,4.684,,active,tracking,76.65,,,,0,
248,1777427222.832433,2.125,2.057,,36.295,,31.769,0.004,,active,tracking,79.71,,,,0,
249,1777427222.868994,2.033,2.099,,36.425,,31.952,0.005,,active,tracking,82.89,,,,0,
250,1777427222.910555,2.106,2.062,,41.417,,32.269,4.642,,active,tracking,91.12,,,,0,
251,1777427222.947461,2.155,2.046,,36.780,,32.264,0.005,,active,tracking,61.30,,,,0,
252,1777427222.984011,1.934,1.989,,36.419,,32.192,0.004,,active,tracking,64.48,,,,0,
253,1777427223.024706,1.963,2.023,,40.562,,31.581,4.662,,active,tracking,71.80,,,,0,
254,1777427223.061189,2.055,2.039,,36.340,,31.920,0.004,,active,tracking,74.93,,,,0,
255,1777427223.097446,1.990,2.001,,36.109,,31.704,0.005,,active,tracking,77.79,,,,0,
256,1777427223.140040,2.058,2.126,,42.446,,33.516,4.419,,active,tracking,87.03,,,,0,
257,1777427223.177269,2.165,2.115,,37.068,,32.448,0.006,,active,tracking,90.91,,,,0,
258,1777427223.214393,2.147,2.100,,36.964,,32.406,0.004,,active,tracking,94.68,,,,0,
259,1777427223.255592,2.054,2.018,,41.014,,32.158,4.477,,active,tracking,69.15,,,,0,
260,1777427223.291478,2.054,2.029,,35.746,,31.334,0.005,,active,tracking,71.64,,,,0,
