frame_idx,wall_t,ms_capture,ms_preproc,ms_framediff,ms_total,phase,state,sensor_age_ms
71,1777426440.975921,29.552,2.066,1.387,33.252,,,,active,searching,27.08,0,,,,
72,1777426441.009428,29.624,2.036,1.401,33.352,,,,active,searching,27.17,0,,,,
73,1777426441.042617,29.391,1.983,1.414,33.041,,,,active,searching,27.04,0,,,,
74,1777426441.076517,30.110,2.053,1.327,33.749,,,,active,searching,27.58,0,,,,
75,1777426441.110756,29.134,3.136,1.555,34.094,,,,active,searching,28.46,0,,,,
76,1777426441.143995,28.243,3.146,1.445,33.088,,,,active,searching,28.33,0,,,,
77,1777426441.177437,28.387,3.152,1.460,33.292,,,,active,searching,28.41,0,,,,
78,1777426441.210662,28.191,3.112,1.523,33.079,,,,active,searching,28.27,0,,,,
79,1777426441.243000,28.417,1.984,1.545,32.190,,,,active,acquiring,27.24,0,,,,
80,1777426441.282368,29.429,2.062,1.543,39.219,4.378,1.430,,active,tracking,33.26,1,0.40,-3.92,2,
81,1777426441.358721,23.473,2.152,,76.211,,,50.248,settle,tracking,76.23,,,,,1
82,1777426441.449774,2.079,2.066,,90.907,,,86.427,settle,tracking,133.92,,,,,0
83,1777426441.541263,2.031,2.056,,91.345,,1.410,85.487,active,tracking,125.34,1,0.68,-3.08,2,
84,1777426441.630556,1.980,2.055,,89.124,,,84.735,settle,tracking,114.51,,,,,1
85,1777426441.720368,2.229,2.064,,89.642,,,84.999,settle,tracking,137.59,,,,,0
86,1777426441.767017,2.110,2.035,,46.491,,,42.024,active,tracking,84.14,0,,,,
87,1777426441.813778,2.142,2.138,,46.609,,,42.021,active,tracking,97.56,0,,,,
88,1777426441.860078,1.968,2.034,,46.156,,,41.841,active,tracking,77.12,0,,,,
89,1777426441.906804,2.059,2.062,,46.584,,,42.183,active,tracking,90.48,0,,,,
90,1777426441.954117,1.900,2.044,,47.188,,,41.689,active,lost,71.06,0,,,,
91,1777426441.963354,2.704,2.441,3.323,8.762,,,,active,acquiring,46.94,0,,,,
92,1777426441.981480,10.315,2.013,1.716,17.980,1.925,1.423,,active,tracking,31.72,1,7.28,4.44,2,
93,1777426442.042378,24.946,2.160,,60.758,,,33.331,settle,tracking,59.24,,,,,1
94,1777426442.094512,2.007,2.039,,51.982,,,47.596,settle,tracking,78.00,,,,,0
95,1777426442.148309,2.144,2.092,,53.637,,1.397,47.641,active,tracking,98.44,1,7.24,4.36,2,
96,1777426442.198106,1.979,2.027,,49.662,,,45.300,settle,tracking,81.47,,,,,1
97,1777426442.248563,2.186,2.132,,50.298,,,45.635,settle,tracking,98.58,,,,,0
98,1777426442.299715,2.032,2.015,,50.996,,1.428,45.142,active,tracking,83.04,1,5.88,2.28,2,
99,1777426442.350228,2.240,2.079,,50.360,,,45.696,settle,tracking,100.17,,,,,1
100,1777426442.399929,2.004,2.055,,49.546,,,45.125,settle,tracking,83.13,,,,,0
101,1777426442.451737,2.230,2.076,,51.644,,1.384,45.586,active,tracking,101.60,1,3.92,0.60,2,
102,1777426442.501511,2.031,2.014,,49.640,,,45.177,settle,tracking,84.61,,,,,1
103,1777426442.551869,2.206,2.138,,50.197,,,45.500,settle,tracking,101.61,,,,,0
104,1777426442.603250,2.114,2.023,,51.188,,1.425,45.241,active,tracking,86.29,1,3.08,-0.52,2,
105,1777426442.653821,2.325,2.347,,50.437,,,45.425,settle,tracking,103.48,,,,,1
106,1777426442.703366,2.062,2.054,,49.389,,,44.918,settle,tracking,86.28,,,,,0
